School,Earnings,Cost,Grad,Debt,City
"The College of Idaho (Caldwell, ID)",38900,16681,65,90,0
"The College of Wooster (Wooster, OH)",44400,21455,75,91,0
"The George Washington University (Washington, DC)",64500,30206,80,95,1
"The University of Tulsa (Tulsa, OK)",43200,25702,67,87,1
"Trinity University (San Antonio, TX)",53200,22389,81,96,1
"University of Denver (Denver, CO)",51400,29362,77,92,1
"University of Hartford (West Hartford, CT)",45900,29140,55,86,1
"University of Miami (Coral Gables, FL)",52400,30394,81,90,0
"University of Puget Sound (Tacoma, WA)",51500,32115,78,94,1
"University of Redlands (Redlands, CA)",53800,25057,72,91,1
"University of Rochester (Rochester, NY)",55500,26608,85,93,1
"University of San Diego (San Diego, CA)",56300,31593,75,92,1
"University of San Francisco (San Francisco, CA)",61000,31915,68,87,1
"University of Tampa (Tampa, FL)",44400,27955,59,87,1
"University of the Pacific (Stockton, CA)",66400,30318,57,89,1
"Wartburg College (Waverly, IA)",43200,22124,64,90,0
"Washington & Jefferson College (Washington, PA)",49900,26491,76,93,0
"Washington College (Chestertown, MD)",48300,30255,69,92,0
"Wells College (Aurora, NY)",33600,19739,57,86,0
"West Virginia Wesleyan College (Buckhannon, WV)",43100,18292,59,82,0
"Western New England University (Springfield, MA)",55100,28517,61,92,1
"Whittier College (Whittier, CA)",45100,33181,67,86,0
"Widener University (Chester, PA)",51700,27387,56,83,0
"Willamette University (Salem, OR)",49200,30312,78,93,1
"Winthrop University (Rock Hill, SC)",36100,15311,54,76,1
"Wittenberg University (Springfield, OH)",42700,26616,64,90,1
