invoice_number,customer_id,employee_id,invoice_date,payment_terms,
10378,24,5,10/25/2022,3,
10379,61,2,10/26/2022,1,
10380,37,8,10/27/2022,3,
10381,46,3,10/27/2022,3,
10382,20,4,10/28/2022,1,
10383,4,8,10/31/2022,3,
10384,5,3,10/31/2022,3,
10385,75,1,11/1/2022,2,
10386,21,9,11/2/2022,3,
10387,70,1,11/2/2022,2,
10388,72,2,11/3/2022,1,
10389,10,4,11/4/2022,2,
10390,20,6,11/7/2022,1,
10391,17,3,11/7/2022,3,
10392,59,2,11/8/2022,3,
10393,71,1,11/9/2022,3,
10394,36,1,11/9/2022,3,
10395,35,6,11/10/2022,1,
10396,25,1,11/11/2022,3,
10397,60,5,11/11/2022,1,
10398,71,2,11/14/2022,3,
10399,83,8,11/15/2022,3,
10400,19,1,11/16/2022,3,
10401,65,1,11/16/2022,1,
10402,20,8,11/17/2022,2,
10403,20,4,11/18/2022,3,
10404,49,2,11/18/2022,1,
10405,47,1,11/21/2022,1,
10406,62,7,11/22/2022,1,
10407,56,2,11/22/2022,2,
10408,23,8,11/23/2022,1,
10409,54,3,11/24/2022,1,
10410,10,3,11/25/2022,3,
10411,10,9,11/25/2022,3,
10412,87,8,11/28/2022,2,
10413,41,3,11/29/2022,2,
10414,21,2,11/29/2022,3,
10415,36,3,11/30/2022,1,
10416,87,8,12/1/2022,3,
10417,73,4,12/1/2022,3,
10418,63,4,12/2/2022,1,
10419,68,4,12/5/2022,2,
10420,88,3,12/6/2022,1,
10421,61,8,12/6/2022,1,
10422,27,2,12/7/2022,1,
10423,31,6,12/8/2022,3,
10424,51,7,12/8/2022,2,
10425,41,6,12/9/2022,2,
10426,29,4,12/12/2022,1,
10427,59,4,12/12/2022,2,
10428,66,7,12/13/2022,1,
10429,37,3,12/14/2022,2,
10430,20,4,12/15/2022,1,
10431,10,4,12/15/2022,2,
10432,75,3,12/16/2022,2,
10433,60,3,12/19/2022,3,
10434,24,3,12/19/2022,2,
10435,16,8,12/20/2022,2,
10436,7,3,12/21/2022,2,
10437,87,8,12/21/2022,1,
10438,79,3,12/22/2022,2,
10439,51,6,12/23/2022,3,
10440,71,4,12/26/2022,2,
10441,55,3,12/26/2022,2,
10442,20,3,12/27/2022,2,
10443,66,8,12/28/2022,1,
